There you see said he of the Grove hearing Sancho's exclamation how you have called this wine whoreson by way of praise.,translated
Louis XI.'s grave face contracted; but all that was visible of his emotion passed away like a flash of lightning.,translated
They removed it in all haste and his lacquey features were revealed to public gaze.,translated
But let go of my master's arm of grace! you have a pincer hand.,machine
I soon managed to get the address of the receiver who had them on promising him that there would be no prosecution.,native
Hey ! no doubt the little demon of the capital continued.,machine
Her home and her housekeeping her parish and her poultry and all their dependent concerns had not yet lost their charms.,native
That would do if it was the toothache my master had; but it is in the brains what he has got.,translated
Notre Dame de Paris is in particular a curious sample of this variety.,machine
That was to some extent in favour of the accused as when seen quarrelling he was face to face with his father.,native
O bread ill-bestowed and favours ill-acknowledged both those I have done thee and those I mean to do thee!,translated
Nevertheless at first sight one recognized the fact that these three fragments formed but one body.,translated
Oudarde in her turn in a sweeter more caressing voice−−Sister! said she Sister Sainte−Gudule!,translated
Even a wife's eyes could not pierce so complete a disguise.,native
Tom gave up the brush with reluctance in his face but alacrity in his heart.,native
But however he is very welcome to come to Netherfield if he likes it.,native
We are in a civilised land here and we can't have tomfoolery of this kind.,native
These symptoms of a violent moral preoccupation had acquired an especially high degree of intensity at the epoch when this story takes place.,translated
Keep quiet stay where you are and you will save yourself the trouble of coming back.',translated
That gypsy girl you know who comes every day to dance on the church square in spite of the official's prohibition!,translated
Finally he agreed to take Camila to a monastery where a sister was a priory.,machine
Aunt Polly had drooped into a settled melancholy and her gray hair had grown almost white.,native
She did not wish to pain him and resumed her lay trembling all over.,translated
Who has hell answered Sancho null is retentive as I have heard.,machine
And above all the voices that of Johannes de Molendino was audible piercing the uproar like the fife's derisive serenade:,translated
She then sought her eldest sister who has undertaken to make inquiries on the same subject of Bingley.,native
That is Don Quijote replied because the number of religious is greater than that of the gentlemen.,machine
Mr. Darcy is impatient to see his sister; and to confess the truth we are scarcely less eager to meet her again.,native
Don Quijote asked how the man with so many prisons was doing more than the others.,machine
And this is the story and I really believe that it has not been brought here out of purpose.,machine
Placed between the provost and the mother both threatening the soldiers hesitated for a moment then took their resolution and advanced towards the Rat−Hole.,translated
The joy which Miss Darcy expressed on receiving similar information was as sincere as her brother's in sending it.,native
Don Quixote turned all colours which on his sunburnt face mottled it till it looked like jasper.,translated
He halted it halted; he resumed his march it resumed its march.,translated
Come along old chap and I'll ask the widow to let up on you a little Huck.,native
Since the big city has been deforming day by day.,machine
I was frightened of the house of the man of the woman of the servants even of the child.,native
The wall was of stone the roof of lead the timber−work of wood.,translated
I am examining the chiselling of these stones and the manner in which yonder bas−relief is thrown out.,translated
O that the peerless Dulcinea should be so unfortunate that they cannot let her enjoy my incomparable constancy in peace!,translated
We shall see which will carry the day grimaces or polite literature.,translated
On entering the room he seemed to hesitate; but Jane happened to look round and happened to smile: it was decided.,native
Each daughter can claim an income of 250 pounds in case of marriage.,native
And to the embarrassed coldness of the officer it was easy to see that on his side at least it was no longer about love.,machine
Perhaps brother said the ecclesiastic you are that Sancho Panza that is mentioned to whom your master has promised an island?,translated
One would think they were the only geese in the world to hear the fuss that is made over them.,native
There was too much to be thought and felt and said for attention to any other objects.,native
Now what is your own impression as to the young lady's--your wife's character?,native
Nevertheless her song breathed joy most of all and she seemed to sing like a bird from serenity and heedlessness.,translated
It may well be that a gentleman is in love but he cannot be speaking in all rigor that is ungrateful.,machine
Now for Mr. Breckinridge he continued buttoning up his coat as we came out into the frosty air.,native
Hold all let all sheathe their swords let all be calm and attend to me as they value their lives!,translated
And now--and now I am myself a branded thief without ever having touched the wealth for which I sold my character.,native
Mr. Gardiner was a sensible gentlemanlike man greatly superior to his sister as well by nature as education.,native
These are dark books which the initiated alone understand how to decipher.,translated
At this audacious declaration the archdeacon's visage assumed a thoroughly pedagogical and paternal expression.,translated
She saw amid the illusions of her hope a state of purity floating above the earth mingling with heaven to which she aspired.,translated
Of the tasty talk that the duchess and her maidens spent with Sancho Panza worthy of reading and noticing,machine
If your church is sacred so is our sister; if our sister is not sacred neither is your church.,translated
My father had a small factory at Coventry which he enlarged at the time of the invention of bicycling.,native
To bag! to bag! shouted on all sides.,machine
The girl then made up the coals covered by the cinders and Emma remained alone in the kitchen.,translated
You have sense and we all expect you to use it.,native
No Kitty I have at last learnt to be cautious and you will feel the effects of it.,native
It would not be easy indeed to catch their expression but their colour and shape and the eyelashes so remarkably fine might be copied.,native
My father and mother knew nothing of that; they only felt how imprudent a match it must be.,native
Tis their horses that are worth seeing said Oudarde caparisoned as they are after the fashion of their country!,translated
Fear at any rate replied Don Quixote will make him look bigger to thee than half the world.,translated
I wouldn't hurt a hair of your head for all the world.,native
Either thou dost not hold her to be what thou sayest or thou knowest not what thou dost demand.,translated
See your mercy, Mr. Governor, what is to be done for these men.,machine
I came to Baker Street by the Underground and hurried from there on foot for the cabs go slowly through this snow.,native
All he wants is an old dog to help him to do the running down.,native
It is easy for me to be so for every event of that dreadful time is seared into my memory.,native
For my part I should like all Europe and America to hear the rights of it.,native
What is that for? asked the young fellow passing his hand over the crinoline or the hooks and eyes.,translated
Nothing touches when it comes from the man whom one does not love.,translated
See a signal from the sky because it is the sun that gives it these thousand churches start at once.,machine
I have now news to give you which if it serves not to alleviate your sufferings will not in any wise increase them.,translated
His eyes sparkled and he sent up a great blue triumphant cloud from his cigarette.,native
I understand said the notary; a man of science can't be worried with the practical details of life.,translated
The whole party have left Netherfield by this time and are on their way to town--and without any intention of coming back again.,native
The feast ambassadors Coppenole the pope of fools are in all mouths.,machine
From the height on which they were the whole valley seemed an immense pale lake sending off its vapour into the air.,translated
I am Don Quixote of La Mancha against whom your evil machinations avail not nor have any power.,translated
If the master is as wise as the man said the duenna we have got a fine bargain.,translated
So noramala I will reach the county that I hope if your mercy is going to ask for cotufas in the gulf.,machine
The prospect of the Netherfield ball was extremely agreeable to every female of the family.,native
I am going to see he said to himself on the way.,translated
He talked hopefully to Becky; but an age of anxious waiting passed and no sounds came again.,native
Their chaperoned heads could be seen, one after the other, in the shadow of the lugubrious question addressed to them by the president.,machine
He would rather walk with me in the evening than in the daylight for he said that he hated to be conspicuous.,native
At the first glance one saw that it was divided into many masses singularly distinct.,translated
Good heavens! said the poor girl and I thought my name pretty because of its singularity!,translated
The saints were his friends and blessed him; the monsters were his friends and guarded him.,machine
You free you healthy you sane and I crazy and I sick and I tied ...?,machine
It was nearly one o'clock when Sherlock Holmes returned from his excursion.,native
In resolution he told him so much he persuaded him and promised that the poor villain determined to go out with him and serve as a squire.,machine
Tom knew their ways and the danger of this sort of conduct.,native
First he walked up and down with the open volume in his hand rolling his eyes choking tumid apoplectic.,translated
Ah me! it's a wicked world and when a clever man turns his brains to crime it is the worst of all.,native
Quasimodo shrouded in darkness watched them all pass out through the porch illuminated with torches.,translated
It's a name that can open this door night or day lad!--and welcome!,native
So it was said Gringoire delighted at this beginning of a conversation.,translated
Such was the pope whom the fools had just chosen for themselves.,translated
And he didn't know what to do but turn his back and get rid of his lord's angry presence.,machine
He could not understand what furious desire for locomotion urged these individuals never to wish to stop.,translated
And where is that if you please? and why did not you come to say farewell?,translated
These are gentlemen masters of the requests of the Hotel du Roi.,machine
There are forty very excellent proverbs anent the hole−ridden cloak of the philosopher.,translated
Elizabeth was now to see Mr. Wickham for the last time.,native
Cursed party! exclaimed, will you pursue me everywhere?,machine
About 1869 or 1870 he came back to Europe and took a small estate in Sussex near Horsham.,native
How happy they are to see all that! sighed Joannes de Molendino still perched in the foliage of his capital.,translated
And now as to the villains who seemed to be immediately implicated in the matter.,native
The hosier in spite of the signs made to him by Guillaume Rym appeared determined to hold his own against the king.,translated
I've got a brother that's bigger than he is--and what's more he can throw him over that fence too.,native
The devil take thee man said Don Quixote; what has a helmet to do with fulling mills?,translated
Thus did the first races everywhere at the same time on the surface of the whole world.,machine
They are wanted in the farm much oftener than I can get them.,native
Quasimodo alone kept his seriousness because he did not understand anything about him.,machine
There is a hissing in my ear and fiery rakes rack my chest.,translated
The whole little court in cassocks went into ecstacies over this play upon words.,translated
You take their watches and things but you always take your hat off and talk polite.,native
Why should they give you 120 pounds a year when they could have their pick for 40 pounds?,native
It is a pity because in other respects you would really have done very nicely.,native
We all love to instruct though we can teach only what is not worth knowing.,native
I will not answer you, a fervent word, Mrs. Don Quixote answered, nor will I hear anything else from your fascist façade that you rise from the ground.,machine
I never heard any harm of her; and I dare say she is one of the most tractable creatures in the world.,native
It is just as well that we should do business with the male relatives.,native
Well, for God's sake, those gentlemen who send them here have to see them if I am a man who is frightened of lions!,machine
Guillaume! thou art the largest and Pasquier is the smallest and Pasquier does best.,translated
Do you fancy Don Vanquished Don Cudgelled that I died for your sake?,translated
It would of course instantly strike him that he must get rid of the tell-tale garments.,native
All that is very true said Don Quixote; but I cannot make out what thou art driving at.,translated
I do not know that there is anything else for me to explain.,native
And as he ended Rodolphe suited the action to the word.,translated
One of these personages fantastically accoutred in many an oriental rag was Mathias Hungadi Spicali Duke of Egypt and Bohemia.,translated
Ashamed as a fox who has been caught by a fowl.,translated
The Paris of three hundred and fifty years ago−−the Paris of the fifteenth century−−was already a gigantic city.,translated
The characters on stage then resumed their gloss and Gringoire hoped that at least the rest of his work would be listened to.,machine
So then I promised to wait for him to the end of time and pledged myself not to marry anyone else while he lived.,native
He remained seated for hours without speaking went into his consulting room to sleep or watched his wife sewing.,translated
The old ribaude with white mustaches will not give me credit.,machine
Some time or other he will be--but it shall not be by me.,native
And turning to look at the priest, he went on to say: Ah, Mr. priest, Mr. priest!,machine
All this quiet organized active life reproduced around him in a thousand forms hurt him.,machine
But it is certain that these ideas formed in his mind a horrible group.,translated
You are mad Elise!' he shouted struggling to break away from her.,native
Elizabeth had hoped that his resentment might shorten his visit but his plan did not appear in the least affected by it.,native
Some letters get more worn than others and some wear only on one side.,native
A ventilator is made a cord is hung and a lady who sleeps in the bed dies.,native
He was conscious in a confused way that a violent crisis was approaching.,translated
Sancho came up and spoke in high praise of the generous disposition of the lacquey Tosilos.,translated
Homais bend over the splash-board and in a voice broken by sobs uttered these three sad words—,translated
If not I should much prefer to communicate with you alone.,native
There is the charming half−Gothic chapter−house of Bocherville where the Roman layer extends half way up.,translated
Monsieur the Archduke has more than once sought his ~gant~* in my hose.,translated
You had my note? he asked with a deep harsh voice and a strongly marked German accent.,native
I threw myself screaming against the door and dragged with my nails at the lock.,native
We will settle with your father about the money afterwards; but the things should be ordered immediately.,native
Is there anything in what I say or am I talking to no purpose?,translated
It was a small door, no doubt communicating to a neighboring cell that was closing outside.,machine
Unconsciously Leon while talking had placed his foot on one of the bars of the chair on which Madame Bovary was sitting.,translated
Coictier calmed down muttering in a low tone−−After all he's mad.,translated
It is a very sweet little problem and I would not have missed it for a good deal.,native
At the convent there was an old maid who came for a week each month to mend the linen.,translated
But everybody was talking and intent upon the grisly spectacle before them.,native
Donosa majadería! the commissioner replied Well there is the donaire that has come out after a while!,machine
Lord Robert Walsingham de Vere St. Simon second son of the Duke of Balmoral.',native
They were at once recognised by both the curate and the bachelor who came towards them with open arms.,translated
The priest who was overwhelming the deaf man with gestures of wrath and reproach made the latter a violent sign to retire.,translated
But you look like a good guy and it's safer to postpone the game until tomorrow.,machine
These we presume indicated the nature of the papers which had been destroyed by Colonel Openshaw.,native
You have reduced him to his present state of poverty--comparative poverty.,native
Because I must tell you I am not available for anybody's purpose thanks to the peerless beauty of my lady Dulcinea del Toboso.,translated
But he did not know how to explain the fall of the beam.,translated
Don Quijote replied: Your mercy tell me who it is because my courtesy responds to your deserves.,machine
Gringoire had passed from the love of an idea to the love of the form of that idea.,translated
I am Alexander Holder of the banking firm of Holder &amp; Stevenson of Threadneedle Street.,native
It is the second tower of Babel of the human race.,translated
Then he himself would hand over to madame the remainder after the actual debt was paid.,translated
But not for this reason Don Quijote kept gossiping commable cut-outs and setbacks like rains.,machine
I do not think Don Quixote replied that such squires were never at salary but at the mercy.,machine
Yet interrupted Charles who was slowly sipping his rum-sherbet they say that he is quite admirable in the last act.,translated
Notre−Dame de Paris is not of pure Romanesque like the first; nor of pure Arabian race like the second.,translated
Let us know what this root is said at this time the hearer.,machine
The other end of the thread which the demon had attached to my wings he had fastened to his foot.,translated
Their other engagements were few as the style of living in the neighbourhood in general was beyond Mr. Collins's reach.,native
The seats began to empty some card-players were still left; the musicians were cooling the tips of their fingers on their tongues.,translated
